address,pvalue,num_transactions,num_minted,token_list
0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,1.3015724782688848e-23,10,181,"[[51, 5859], [105, 5830], [194, 5478], [198, 5160], [150, 5102], [217, 5045], [19, 5037], [226, 5010], [56, 4979], [759, 4936]]"
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,1.8129524096214828e-17,8,160,"[[161, 5682], [260, 5636], [37, 4901], [397, 4875], [57, 4850], [140, 4846], [452, 3642], [146, 3497]]"
0xd5a9c4a92dde274e126f82b215fccb511147cd8e,0.0009752810747820149,7,140,"[[39, 5959], [90, 5912], [67, 5752], [1200, 2600], [142, 2537], [1095, 2504], [647, 2478]]"
0xb9b6856efd128294a912d584366448bc3d4ea979,3.155776739169328e-05,5,100,"[[99, 4074], [340, 4061], [18, 4033], [369, 4013], [958, 4004]]"
0xcd55ac0917fc01fb05600524c7980567d3aff8d5,2.7603065250582627e-08,4,70,"[[839, 5551], [53, 5381], [210, 5342], [309, 5212]]"
0xa4e107af951156c7acc6b4dd714d14f444342a12,1.2730525894848188e-08,2,40,"[[11, 5798], [79, 5449]]"
0x2e2370489903d7ed48f4cdc00322cd66a4757723,2.3475417547022384e-12,2,40,"[[166, 5824], [117, 5664]]"
0xe63fed8d441ee8128eaa583549dcb60df4f4f109,2.3971003558107867e-07,2,40,"[[3, 4510], [75, 4495]]"
0x955807f8cb79c3a0f4f1e20a8eb336c51d37e5ca,3.3220954023208143e-12,2,40,"[[100, 5929], [131, 5776]]"
0xce3730b98c60a594466a0e6cb057162c36954024,4.092524342953122e-05,1,20,"[[534, 5141]]"
0xafe7309fd01a5e6d5a258e911461ecb9558fbfdf,0.00018633276809573018,1,20,"[[31, 5403]]"
0x3e8d3cbcc30a5ae702ac5d9537992b154151e93b,5.031563540745029e-06,1,20,"[[8, 5590]]"
0x4a9a34a36faedeab457344dea77228dcd318adff,0.0008003050713404731,1,20,"[[22, 5892]]"
0xa635a54b4305d786db7a2cb3a1c8bc90bb15123e,3.575811189167261e-08,1,20,"[[70, 5709]]"
0xd3fa40b89a890d97ff76986096809620d4622417,7.475798901198214e-05,2,16,"[[127, 5119], [629, 5075]]"
0xf83defe97102b583671377cc444c92c32bcbc59b,7.227904275459401e-06,1,13,"[[25, 5693]]"
0x9e0e57de9cac0e9c489c080a0c07ff6e42ae12d1,0.00018680168750877433,1,10,"[[180, 5991]]"
0x8e05bd9fa3059ec69c15bc1a6f4d94f0ac26ce00,0.0002067676668933978,1,10,"[[491, 5607]]"
0xa684cfc51bf2d794cf197c35f3377f117bf10b6f,0.00042531788268334984,1,10,"[[108, 5943]]"
0xdf0c54cbe7b4f59f8dd5bab213db30bbe4de2988,3.314534827667721e-05,2,10,"[[144, 5565], [2, 5184]]"
0xcea110cf871ba2f88262aaba1026c371da930a51,9.253486775129345e-05,2,10,"[[290, 5510], [373, 5423]]"
0x0f5a6308b00e00137d7213c2659a18c357c6ec61,5.612501256496163e-06,1,10,"[[268, 5734]]"
0xb9ee84826d802beb4260e5fedbdbaf6c1125a148,0.00021443496746984317,2,6,"[[517, 4325], [480, 4228]]"
0xb3e0f20fe73ffb0c011d9afa10ee0521d6678619,0.0006997246691945231,1,5,"[[12, 5972]]"
0x0653502fce854ea6074424105567534719f25587,0.0005987586666705394,1,5,"[[208, 4928]]"
0xfdc3e8edd74a90fe971ef7d56a0c66c870b10f5d,0.0001700978723005234,1,4,"[[61, 5317]]"
0x0bab9a5ca29727b112cd5dce487a89fd6b7366bd,0.0007736871874977037,1,3,"[[27, 5731]]"
